"","Temperature","Humidity","Wind.Speed..km.h.","Visibility","Pressure","so2","no2","Rainfall","PM25","PM10"
"334",9.25,0.84,0.6601,8.1305,1017.34,26.2,34,61.6,39,7.013
"335",8.75,0.83,4.8461,1.0626,1017.54,11.8,10.7,55.7,22,6.454
"336",7.883333333,0.89,3.381,1.7871,1017.43,19.2,13.1,57.2,24,2.826
"337",7.733333333,0.89,3.3649,1.0626,1017.65,21.6,20.6,58,77,2.563
"338",7.761111111,0.89,6.4239,3.3649,1017.56,28.3,27.9,58.4,104,5.854
"340",8.866666667,0.89,3.3166,1.9159,1017.16,71.4,37.3,60.6,22,4.091
"342",11.03333333,0.77,3.9445,2.3667,1017.28,14,53.2,62.1,42,5.749
"343",11.16111111,0.77,1.8515,0.2898,1017.15,21.8,79.1,64.4,16,2.857
"345",12.32222222,0.71,2.8819,2.5599,1017.7,37.7,62.9,63.8,37,20.911
"346",12.75555556,0.72,3.4293,6.2951,1017.72,23.9,29.8,62.4,96,25.707
"347",12.75555556,0.72,4.8783,9.982,1017.82,17.5,77.6,59.7,40,24.067
"348",12.77777778,0.71,3.059,11.0768,1017.77,39.2,47.6,60.3,106,20.682
"350",12.22222222,0.72,4.0894,11.27,1016.9,24.5,36,60.6,35,21.209
"351",12.11111111,0.72,1.2236,11.1412,1016.4,9.5,14.9,61.8,21,22.314
"353",11.55,0.74,9.4829,11.27,1015.29,18,50.8,60.5,16,25.123
"357",10.36111111,0.78,0.5152,9.982,1015.04,31.4,18.2,56.7,104,6.496
"359",9.883333333,0.8,1.5295,15.8263,1015.72,17,43.2,55.1,43,6.834
"361",9.822222222,0.78,6.0375,14.812,1015.83,32.9,53.8,55.8,391,3.795
"362",9.822222222,0.78,3.0751,9.8049,1015.95,21.6,40.2,57.5,22,6.488
"363",9.805555556,0.79,5.2969,4.7495,1017.13,23.4,46.9,55.9,26,7.652
"364",9.933333333,0.77,1.5295,4.025,1015.82,21.2,30.5,56,93,7.478
"367",13.79444444,0.72,6.3434,0.7889,1015.83,15,44.2,57,82,10.072
"368",14.95,0.62,11.27,9.8049,1016.12,13,19.3,59.4,41,8.103
"372",17.26111111,0.56,6.4883,10.0303,1016.66,11.4,36.1,54.9,87,7.652
"374",15.06666667,0.66,7.5348,11.27,1016.27,12.2,29.6,54.8,28,10.67
"375",12.56111111,0.72,6.4561,11.4471,1015.96,11.9,8.7,54.9,94,9.56
"376",11.11666667,0.8,1.0143,10.0464,1015.34,11.9,40.5,53.2,22,5.456
"378",8.955555556,0.92,7.2772,11.4471,1015.2,23.2,41,57.6,19,8.209
"379",8.2,0.93,1.4812,10.0464,1014.87,22.5,38.7,62.5,108,7.529
"380",8.083333333,0.93,0.322,9.982,1014.78,22.4,40.4,58.8,35,7.509
"381",7.261111111,0.95,0.5313,9.982,1015.54,30.7,21.2,61.4,43,6.801
"382",5.511111111,1,0,9.982,1016.01,28.8,69.4,57.4,105,10.083
"383",4.888888889,0.96,2.8819,15.8263,1016.52,17.3,14.6,55.8,28,9.62
"384",4.427777778,0.99,2.4794,9.982,1016.96,19,22.2,53.4,44,6.088
"385",3.911111111,1,3.1717,6.2951,1017.04,12.3,15.5,54.4,68,6.028
"386",7.622222222,1,11.27,6.2951,1017.33,15.6,45.6,56.1,35,6.734
"387",11.04444444,0.91,4.6207,14.168,1019.59,20.4,44.3,60.7,60,4.98
"388",14.88888889,0.72,3.0751,3.8318,1017.25,22.4,44.7,59.9,56,9.054
"391",20.04444444,0.45,0,0.7406,1018.13,26,29.8,54.5,21,7.018
"394",22.8,0.34,1.5295,9.982,1019.11,9.9,12.7,55.8,43,8.363
"395",22.82222222,0.34,4.8783,9.982,1019.5,19.6,38.3,54.2,55,11.155
"397",21.22222222,0.41,3.6225,11.2056,1019.79,14.8,32.3,56.6,31,14.725
"398",18.92777778,0.47,4.5563,9.982,1019.47,33.4,18.5,56.8,54,23.515
"399",16.5,0.54,6.2951,10.3523,1019.25,9.6,8.5,57.9,16,14.627
"400",13.92777778,0.71,2.5599,9.982,1018.89,19.5,38,58,14,14.835
"401",13.23888889,0.69,4.347,9.982,1018.6,16.1,13.6,59.5,39,14.72
"402",11.48333333,0.78,1.1753,10.3523,1018.67,25.9,43.4,61.8,29,13.356
"405",8.877777778,0.85,2.6887,9.982,1019.22,22.2,5.6,59.9,50,9.09
"406",9.288888889,0.84,1.5778,9.982,1019.88,8.6,30.5,55,17,6.693
"408",7.922222222,0.95,3.4132,14.9569,1020.02,6.3,12,59.1,15,10.287
"409",7.183333333,1,3.2522,15.8263,1020.11,14.6,17.7,60.5,14,13.282
"410",7.805555556,0.96,3.1717,14.9086,1020.12,20.7,34,64.1,28,10.26
"414",20.78333333,0.46,9.7083,14.0875,1020.39,5.1,9.7,63.9,45,12.724
"416",22.15,0.43,7.7441,9.9015,1020.81,13.3,17.1,65.9,30,8.9
"417",22.72222222,0.38,8.7584,9.9015,1021.01,30.9,46.3,66.8,17,14.871
